duplicate,#,question,choices,answer,explanation,source
,40,Universal Containers は、顧客が構造化データを使用してケースを記録し、緊急度と製品ラインに基づいてルーティングできるようにしたいと考えています。コンサルタントはこれをどのように達成すべきでしょうか?,A. 割り当てルールを備えた標準の Web-to-ケース | B. 優先キューを備えたオムニチャネル | C. 割り当てルールを含む標準メール-toケース,A,構造化データを使って顧客が緊急度と製品を指定してケースを記録するには、Web-to-Case（Webケース）が最適です。カスタマイズ可能なWebフォームで必要な構造化フィールドを収集し、ルールに基づいて自動的にルーティングできます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=8
,41,Universal Containers では、サポートは製品ラインごとに分かれています。各製品ラインには、独自のサポート担当者、キュー、記事、およびレコード タイプがあります。サポート担当者は自社の製品ライン内でのみ業務を行います。顧客とのコミュニケーションを標準化するために、サポート管理者はクイック テキストを実装したいと考えています。クイック テキストは各製品ラインに固有です。管理者は、サポート担当者が特定の製品ラインのクイック テキストにのみアクセスできるようにするにはどうすればよいでしょうか?,A. 製品ラインごとにフォルダーを作成し、パブリック グループと共有します。 | B. 組織全体のデフォルトをプライベートに設定し、共有ルールを作成してロールと共有します。 | C. 適切な製品ラインへの読み取りアクセスの権限セットを追加します。,A,製品ラインごとにサポートが分かれている場合、製品別のキュー（Queue）とケース割り当てルールを組み合わせてケースを適切なチームに自動ルーティングします。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=9
,42,メトリクスは、Universal Containers が Service Cloud Voice を使用した際の通話放棄率が高いことを示しています。コンサルタントはどの戦略を推奨すべきでしょうか?,A. エスカレーション ルールを設定します。 | B. セルフサービス ナレッジを設定します。 | C. 割り当てルールとケース キューを設定します。,B,Service Cloud Voiceのメトリクスを分析するには、Omni Supervisorでリアルタイムの通話データを監視し、レポートとダッシュボードで履歴パフォーマンスデータを分析します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=9
,43,ユニバーサルコンテナーズは、お客様がカスタマーサポート担当者と直接コミュニケーションをとるための追加チャネルを検討しています。現在、お客様はソーシャルメディア、ウェブチャット、電話、SMSを通じてサポートチケットを発行できます。デジタルエンゲージメントに加えて、コンサルタントは要件を満たすために何を推奨すべきでしょうか?,A. AppExchange | B. メールからケースへ | C. 受信トレイ,B,顧客がカスタマーサポート担当者と直接コミュニケーションできる追加チャネルとして、ライブチャット（Live Chat / Messaging）を追加することで、電話以外のリアルタイム対話チャネルを提供できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=9
,44,ユニバーサルコンテナーズ（UC）は、顧客が自社のウェブサイトからケースを提出できるようにしたいと考えています。UCは、無効なケースが大量に発生することを回避したいと考えています。要件を満たすためにコンサルタントはどのツールを使用する必要がありますか?,A. オンデマンドメールツーケース | B. Web-to-Case | C. AppExchange パッケージ,B,顧客がWebサイトからケースを提出できるようにするには、Web-to-Case機能を設定します。HTMLフォームを生成してWebサイトに埋め込み、提出されたデータが自動的にSalesforceでケースとして作成されます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=9
,45,Cloud Kicks のサービス センター マネージャーと IT チームは、新しい Service Cloud 実装後の費用対効果分析をコンサルタントに依頼しました。実装後のコスト削減を反映する測定方法は何ですか?,A. CSATのKPI | B. ライセンス数の削減 | C. サービス担当者のバックログの削減,C,新しいService Cloud実装の成功確認には、ユーザー受け入れテスト（UAT）を実施し、実際のエンドユーザーが要件通りに機能するか確認します。本番展開前に問題を特定・修正できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=9
,46,Lightning サービス コンソールを使用して、コンタクト センター マネージャーは、現在どのサービス担当者が新しいケースを受け付けられるかをどのように確認すればよいでしょうか。,A. オムニチャネルユーティリティコンポーネント | B. オムニチャネル分析 | C. オムニチャネルスーパーバイザータブ,C,Lightningサービスコンソールで現在サービスエージェントが対応中の作業をリアルタイムに確認するには、Omni Supervisorが最適です。エージェントのオープン作業・ステータス・キャパシティをリアルタイムに監視できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=10
,47,ユニバーサルコンテナーズの製品開発チームはService Cloudを使用しています。同社は最近、既存のService Cloud実装に請求サポートチームを追加しました。請求チームと製品チームのケースライフサイクルを確認したところ、以下のステータスが記録されていました。* 請求サポートチーム: 新規、審査中、進行中、ブロック済み、終了* 製品開発チーム: 新規、審査中、進行中、完了各チームに適切なケースライフサイクルを提供するために、コンサルタントは Service Cloud をどのように構成する必要がありますか?,A. 各チームのライフサイクルを視覚化するためのパス ウィジェットを作成します。 | B. 動的フォームを使用して、各チームのライフサイクルに不要なオプションを非表示にします。 | C. 各チームのライフサイクルにサポート プロセスを使用します。,C,異なるチームのライフサイクルを管理するには、チームごとにサポートプロセス（Support Process）を設定し、それぞれのチームに適したケースステータスのフローを定義します。パスウィジェットや動的フォームは表示のカスタマイズには有効ですが、ライフサイクル管理にはサポートプロセスが最適です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=10
,48,Universal Containers は、Lightning Knowledge 移行ツールを使用して Knowledge から Lightning Knowledge に移行していますが、記事の添付ファイルがまったく移行されていないことに気付きました。コンサルタントは添付ファイルをどのように移行できますか?,A. 各記事のファイル関連リストを使用して、ファイルを記事に追加します。 | B. Lightning Knowledge 移行ツールを使用し、「ファイルを含める」を選択します。 | C. ファイルをドキュメントとしてアップロードし、移行された記事に関連付けます。,A,Lightning Knowledge移行ツールを使用する際、Classic Knowledgeの記事タイプはLightning Knowledgeのレコードタイプにマッピングされます。移行前に記事タイプとレコードタイプの対応を計画する必要があります。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=10
,49,ユニバーサル・コンテナーズ（UC）は、主要なユースケース、システム機能、および統合パターンを検証するため、北米のコールセンターにService Cloudを導入しています。UCのリーダーシップチームは、今後のSalesforceリリーススケジュールが実装プロジェクトの開発作業に影響を与える可能性があることを懸念しています。このシナリオでは、Service Cloud コンサルタントは UC の Salesforce 管理者に何を推奨すべきでしょうか?,A. リリースが展開される前にチームがプロジェクトを完了できるように、本番組織へのリリースを延期します。 | B. サンドボックスの更新を無効にして、チームがリリースからの更新なしでソリューションを引き続き使用できるようにします。 | C. チームがリリースによって影響を受ける機能を調整できるように、プレビュー サンドボックスでテストを実施します。,C,主要なユースケース・システム機能・統合パターンを検証するには、プロトタイプ（PoC）を作成して関係者にデモを行い、要件を確認してから本格実装に進むのが最善です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=10
,50,Universal Containers は、顧客が好みのモバイル アプリを介して Service Console のエージェントにメッセージを送信できるようにしたいと考えています。コンサルタントはどの機能を推奨する必要がありますか?,A. Einstein ボット | B. オムニスタジオ | C. メッセージング,C,顧客がモバイルアプリからサービスにアクセスできるようにするには、Messaging for In-App and Web（アプリ内メッセージング）を実装します。モバイルSDKを使ってアプリに組み込み、双方向メッセージングを提供できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=10
,51,Cloud Kicks は最近、サポート チームの効率を高めるために双方向モバイル メッセージングを実装しました。同社は、主要業績評価指標 (KPI) を使用して実装の成功を測定します。コンサルタントは双方向モバイルメッセージングの有効性を測定するためにどの指標を使用する必要がありますか?,A. 平均処理時間 | B. 通話量の削減 | C. オープンケースの合計数,A,双方向モバイルメッセージングを導入後、エージェントが効率的に対応するには、SMSチャネルをオムニチャネルに統合し、適切なルーティングと管理を設定します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=11
,52,ケースがオープン状態になっている平均日数を簡単にレポートできるようにするには、コンサルタントはどのソリューションを設計する必要がありますか?,A. レポートの標準のケース年齢フィールドを使用します。 | B. レポートに数式フィールドを作成し、ケースのオープン日数を表示します。 | C. 日数を計算する数式フィールドを作成し、レポートでそのフィールドを使用します。,C,ケースがオープン状態になっている平均日数を簡単にレポートするには、ケースオブジェクトに日数を計算する数式フィールド（Formula Field）を作成し、そのフィールドをレポートで集計します。標準ケース年齢フィールドはクローズ済みケースに対応しておらず、インサイドレポートの数式は保存・再利用できません。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=11
,53,Cloud Kicks (CK) は小さな靴会社としてスタートしました。現在、CK は成長を続けており、変化する顧客の期待に応えながら、エージェントのスキルセットと組織の成功を向上させる必要があります。コンサルタントは、CK とのハイレベルなディスカッションと計画セッションをどの順序で進めますか?,A. 組織のビジョンを収集し、プロセスをマッピングし、指標を計画し、ユーザーからのフィードバックを計画します。 | B. 組織のビジョンを収集し、プロセスをマッピングし、ユーザーからのフィードバックを計画し、指標を定義します。 | C. 組織のビジョンを収集し、適切な指標を照合し、ユーザーからのフィードバックを計画し、プロセスをマッピングします。,A,成長を続ける靴会社が拡張可能なサポート体制を構築するには、オムニチャネル・エンタイトルメント・ナレッジを組み合わせた包括的なService Cloudソリューションが必要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=11
,54,Universal Containers（UC）は、複雑な顧客からの問題を頻繁に受けており、個別のフィールドでタグ付けされていない社内ナレッジ記事から情報を取得する必要が生じています。UCには、こうしたデータを処理し、正確で根拠のある回答を提供できるサービスが必要です。Service Cloud コンサルタントは何を推奨すべきでしょうか?,A. Agentforce for Service および Agentforce データ ライブラリ。 | B. Einstein ボットと記事回答機能。 | C. 複数のデータ ソースからリアルタイムでデータを取得する Apex レイヤー。,A,個別フィールドでタグ付けされていない社内ナレッジ記事から情報を取得し複雑な顧客問題を解決するには、Agentforce for ServiceとAgentforceデータライブラリを使用します。AIが非構造化ナレッジを検索して適切な回答を生成できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=11
,55,新しい Service Cloud インスタンスに Salesforce Chat 機能を実装する際、コンサルタントは何を考慮する必要がありますか?,A. Experience Builder を使用してデプロイする必要があります。 | B. Einstein ボットと互換性がありません。 | C. オムニチャネル経由でルーティングされる必要があります。,C,新しいService CloudインスタンスにSalesforce Chatを実装する際は、チャットボタン・デプロイメント・ルーティング設定を行い、スキルベースルーティングを設定してエージェントへの最適な割り当てを実現します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=11
,56,Cloud Kicksは、レポート構築のためにService Cloudコンサルタントを雇用しました。コンサルタントは、「取引先とエンタイトルメント、および取引先責任者」と「サービス契約と契約品目」のカスタムレポートタイプを見つけるのに苦労しています。コンサルタントはトラブルシューティングのために何をすべきでしょうか?,A. Salesforce Knowledge が有効になっていることを確認します。 | B. 権限管理が有効になっていることを確認します。 | C. 履歴傾向レポートが有効になっていることを確認します。,B,「取引先とエンタイトルメント」という関連レポートタイプを使用するには、エンタイトルメント管理（Entitlement Management）が有効になっていることが前提条件です。権限管理が有効でないとエンタイトルメント関連のレポートタイプが利用できません。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=12
,57,"Cloud Kicks (CK) は、サービス組織内のケースクロージャの主要業績評価指標 (KPI) と製品サポート計画を改善するために人工知能 (Al) を導入したいと考えています。CK には少なくとも 1,000 件のクローズされたケースがあり、そこから空のフィールドの正確な値を予測できます。CK はまだ Einstein Al 製品を実装していません。コンサルタントはどのアプローチを開始することを推奨しますか。CKでのアルの努力？",A. ケースデータの問題を確認して対処し、Einstein 分類アプリを設定します。 | B. ケースデータの問題を確認して対処し、Einstein 記事の推奨事項を設定します。 | C. 完了したケースが十分にあることを確認し、Einstein Service Al Grounding with Cases をオンにします。,A,ケースクロージャのKPIを測定するには、クローズしたケースの数・平均解決時間・初回解決率などを組み合わせたレポートが基本です。エージェント別・チャネル別・期間別の分析が重要指標です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=12
,58,コンサルタントは、固定の予算とスケジュールで Service Cloud の実装に取り​​組んでいます。プロジェクトのスケジュールと予算の制約を超過する可能性がある追加の要件が早い段階で発見されました。問題に対処するためにコンサルタントが取るべき最初のステップは何ですか?,A. 追加の要件をプロジェクトの範囲に組み込み、元のプロジェクト スケジュールを続行します。 | B. 追加の要件を考慮して変更要求を準備し、新しいプロジェクトのスケジュールを伝えます。 | C. 要件のギャップを文書化し、スケジュールと予算の影響についてプロジェクト チームと話し合います。,C,固定予算・スケジュールでの実装中にスコープが増える場合、要件のギャップを文書化し、スケジュールと予算への影響についてプロジェクトチームと話し合い、変更管理を通じてスコープを制御します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=12
,59,サービス担当者が新しいケースに正確に対応できるように、Universal Containers では、ケース レコード ページに関連ナレッジ記事のリストが表示されるようにしたいと考えています。Service Cloud コンサルタントはこの要件をどのように構成する必要がありますか?,A. ケース レコード ページにナレッジ関連リストを追加します。 | B. ナレッジコンポーネントをケース Lightning レコードページに追加します。 | C. ナレッジ コンポーネントをケース ページ レイアウトに追加します。,B,ケースレコードページに関連ナレッジ記事を表示するには、ナレッジコンポーネントをケースLightningレコードページに追加します。このコンポーネントはケースのコンテキストに基づいて関連記事を自動サジェストする機能も提供します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=12
,60,Cloud Kicks は、利用可能なサポート チャネルに WhatsApp チャネルを追加したいと考えています。Service Cloud コンサルタントは何を考慮すべきでしょうか?,A. グループ WhatsApp チャットはサポートされていません。 | B. 絵文字、アンケート、クイックテキストはサポートされていません。 | C. キューベースのルーティングはサポートされていません。,A,WhatsAppチャネルを追加するには、まずMessaging for In-App and Web（またはDigital Engagement）ライセンスを取得し、Messaging設定でWhatsAppチャネルを作成してMeta Business ManagerのWABAと連携します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=12
,61,Universal Containers は、新しいサービス エージェントのトレーニングを行っています。トレーニングの一部には、顧客からのメッセージの処理が含まれます。ただし、コンタクト センターのマネージャーがメッセージング セッションを監視して、サービス エージェントの応答が専門的かつ正確であること、および必要なときにサポートできることを確認することが重要です。このニーズをサポートするには、コンサルタントはどの Lightning コンソール機能を設定する必要がありますか?,A. [チャット スーパーバイザー] タブとウィスパー メッセージ | B. インシデント管理タブとウィスパー メッセージ | C. オムニチャネル スーパーバイザーとウィスパー メッセージ,C,新しいサービスエージェントのトレーニングには、実際のケースシナリオを使ったロールプレイ・Trailheadコース・サービスコンソール内のIn-App Guidanceを組み合わせた多層的なアプローチが効果的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=13
,62,Universal Containers は、顧客がコンピューターやモバイル デバイスからサポート エージェントとリアルタイムでやり取りできるようにしたいと考えています。この要件を満たすためにコンサルタントはどの機能を推奨すべきでしょうか?,A. アインシュタインチャットボット | B. サービスクラウド音声 | C. デジタルエンゲージメント,C,顧客がコンピューターやモバイルデバイスからサポートにアクセスできるよう、Experience Cloud（コミュニティ）またはMessaging for In-App and Webをレスポンシブデザインで実装します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=13
,63,Cloud Kicks では、新入社員をオンボーディングし、より効率的に新入社員トレーニングを実施する必要があります。これには、福利厚生、社内求人、必須の従業員トレーニングなどの求人情報へのアクセスの提供が含まれます。要件を満たすためにコンサルタントは何を推奨する必要がありますか?,A. トレイルヘッド | B. アインシュタインの次善のアクション | C. Experience Cloud サイト,A,新入社員のオンボーディングと効率的なトレーニングには、In-App Guidance機能を使ってサービスコンソール内でリアルタイムに手順ガイドを表示します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=13
,64,標準の Service Cloud 機能を本番環境に導入する場合、どのベストプラクティスを使用する必要がありますか?,A. 実稼働環境にデプロイする前に、すべてのコードが単体テストでカバーされていることを確認します。 | B. 事前に展開を計画し、組織のユーザーに伝えます。 | C. デプロイ当日は本番環境へのログインを控えるようユーザーに依頼します。,B,Service Cloud機能を本番環境に展開するベストプラクティスは、サンドボックスで開発・テスト→UATの実施→変更セット（Change Set）またはDevOps Centerを使用した本番展開の順序を踏むことです。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=13
,65,サービスエージェントは、ケースの詳細に基づいて添付ファイル付きの電子メールを顧客に送信する必要があります。要件を満たすためにコンサルタントはどの Lightning サービスコンソール機能を使用する必要がありますか?,A. ライトニングナレッジ | B. クイック テキスト テンプレート | C. カスタムケースのアクション,C,ケースの詳細に基づいて添付ファイル付きのメールを送信するには、カスタムケースアクション（Custom Case Action）を作成し、メールアクションとメールテンプレートを組み合わせます。ケースデータを動的に取り込んだメールを生成できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=13
,66,チャット リクエストにサービス エージェントが効果的に応答するのに十分な情報が含まれていることを確認するには、コンサルタントは何を推奨する必要がありますか?,A. Einstein チャットボットを使用してインテントをカスタマイズします。 | B. Lightning コンソールのチャットページをカスタマイズします。 | C. プレチャット フォームをカスタマイズします。,C,チャットリクエストに十分な情報を含めるには、プレチャットフォーム（Pre-Chat Form）をカスタマイズし、顧客が問い合わせ内容・名前・連絡先情報をチャット開始前に入力するよう設定します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=14
,67,Universal Containers は、新しいケース管理ソリューションを開発したいと考えています。エンドツーエンドのソリューションには、サードパーティ システムとの統合が含まれます。ベスト プラクティスに従って、コンサルタントはどの開発および展開パスを推奨する必要がありますか?,A. 1 つのサンドボックスで開発し、別のサンドボックスで品質保証を完了してから、本番環境でユーザー受け入れテストと統合テストを実行します。 | B. Salesforce の機能を 1 つのサンドボックスで開発およびテストし、本番環境で機能を再構築します。 | C. 開発、品質保証、ユーザー受け入れテスト用に個別のサンドボックスを設定し、機能を運用環境に移行します。,C,新しいケース管理ソリューションの開発には、まず要件収集と現状分析を行い、標準機能で対応できるか評価してから、必要なカスタマイズを特定して設計します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=14
,68,Cloud Kicks (CK) は、サービスセンターで Lightning Experience と Lightning Knowledge を使用します。CK は、サービス エージェントがケースをクローズするときに新しい記事を作成する簡単な方法を望んでいます。新しい記事には、他の人にとって役立つように、事件の適切な詳細が含まれている必要があります。要件を満たすために推奨される方法は何ですか?,A. グローバルに共有されるマクロを開発して、新しい記事を作成します。 | B. トリガーを使用して、新しい記事を自動的に作成します。 | C. ケースフィールドを新しい記事にマップするクイックアクションを作成します,C,Lightning ExperienceのService Cloudコンソールでは、スプリットビュー・サブタブ・関連コンポーネントの最適配置を活用してエージェントが効率よく業務を行える環境を構築します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=14
,69,Ursa Major Solar のサポート部門では、サービス レベル契約 (SLA) に基づいて顧客が適切なサポートを受けられるようにするプロセスを実装したいと考えています。コンサルタントは実装の一部としてどの機能を構成する必要がありますか?,A. マイルストーン | B. エスカレーションルール | C. スケジュールされたフローアクション,A,SLAに基づいた顧客サポートを提供するには、エンタイトルメント（Entitlements）とマイルストーン（Milestones）を設定します。顧客ごとのサービスレベルを定義し、各対応段階での期限を管理してSLA遵守を確保します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=14
,70,ユニバーサルコンテナ（UC）は、人間とAIエージェントの連携を強化するためにAgentforceの導入を計画しています。導入の成功には、AIエージェントとサポート担当者間のシームレスな移行をサポートするAgentforceの機能との整合性が求められます。顧客サポート業務を改善するために Agentforce を実装する場合、UC が優先すべき具体的な側面は何ですか?,A. Agentforce の応答をソーシャル メディア メッセージングと統合して、顧客サポートの質問を処理します。 | B. 必要に応じて担当者をサポートするための引き継ぎを可能にする Agentforce アクションを設計します。 | C. AI エージェントの関与なしに、できるだけ多くの顧客とのやり取りを自動化することに重点を置きます。,B,AgentforceでのAIと人間エージェントの連携強化には、AIが解決できない複雑な問題を人間エージェントにシームレスに引き継ぐエスカレーションフローとハンドオフ設定が重要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=14
,71,Universal Containers (UC) は顧客とのサービス レベル契約 (SLA) を締結しており、エージェントはケース作成後 2 時間以内に受信ケースの所有権を取得し、対応する義務を負っています。UC が SLA を満たすのに役立つベスト プラクティスはどれですか。,A. 自動応答ルール | B. エスカレーションルール | C. 権利とマイルストーン,C,顧客とのSLAを締結してサービスレベルを管理するには、エンタイトルメント（Entitlements）をサービス契約（Service Contract）に紐付け、マイルストーンで各期限を管理します。これにより契約期間中のSLA遵守を追跡できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=15
,72,Cloud Kicks (CK) はチャットを通じて顧客をサポートします。サービスエージェントは、顧客が暴言を吐いた事例を複数報告している。CK は、虐待的な顧客が今後チャット セッションを開始できないようにする方法を求めています。要件を満たすために推奨される機能は何ですか?,A. 機密データ ルールを作成します。 | B. アシスタンス フラグ構成設定を有効にします。 | C. IP ブロック ルールを作成します。,C,チャットで顧客をサポートする際、エージェントが顧客情報を素早く確認するには、プレチャットフォームとスクリーンポップを組み合わせ、顧客の連絡先・ケース履歴をエージェントのコンソールに自動表示します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=15
,73,Cloud Kicks はオムニチャネルを使用して、通話、チャット、ケースをエージェントにルーティングしています。コンタクトセンターマネージャーは、チームが時間的制約のある作業を優先しながら、長時間かかる作業も継続できるようにしたいと考えています。コンサルタントはどの機能を推奨すべきでしょうか?,A. スキルベースルーティング | B. 中断可能容量 | C. オムニチャネルスーパーバイザー | D. セカンダリルーティング優先度,B,時間的に制約のある作業（チャット・通話）と長期的な作業（ケース・メール）を同時に管理するには、「中断可能容量（Interruptible Capacity）」が最適です。優先度の高い時間的に重要な作業が到着すると、エージェントが低優先度の作業を中断して対応できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=15
,74,Service Cloud コンサルタントは、Cloud Kicks (CK) の顧客サービス業務の効率化を支援するために雇用されています。CKには複数の部門があり、プロセスは分断され、ドキュメントも限られています。コンサルタントはプロジェクトのキックオフに向けて準備を進めており、プロジェクトの成功を確実にしたいと考えています。契約の成功を確実にするために、コンサルタントはまず何をすべきでしょうか?,A. ソリューション設計が完了したら、ドキュメントを確認します。 | B. 想定されるベストプラクティスに基づいてプロトタイプの構築を開始します。 | C. 現在のプロセスの詳細と問題点を収集するために、部門リーダーとの面談をスケジュールします。,C,顧客サービス業務の改善には、現状分析（As-Is Assessment）でボトルネックを特定し、改善優先度を評価してから具体的な改善策を設計するアプローチが重要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=15
,75,Cloud Kicks (CK) は、その製品に関する何百ものナレッジ記事を作成しました。記事は終了した事件に添付されています。新しい製品をリリースするには、数十の記事を変更する必要があります。CK は、記事を改訂した後、以前の記事バージョンが終了したケースに関連付けられたままであることを確認したいと考えています。要件を満たすために推奨される方法は何ですか?,A. 新しい記事の名前に「更新」を追加します。 | B. 記事へのスマート リンクを使用して、以前のバージョンを選択します。 | C. 公開時に [新しいバージョンとしてフラグ] チェックボックスをオンにします。,C,終了した製品に関する大量の記事を更新する際、新バージョンとして管理するには、公開時に「新しいバージョンとしてフラグ」チェックボックスを有効にして旧バージョンとの関係を管理します。記事名に「更新」を追加する方法はベストプラクティスではありません。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=15
,76,"Universal Containers は、通話が請求に関する問題に関するものである場合、コンタクト センターのエージェントに顧客の支払い履歴へのアクセスを提供する必要があります。次の点を考慮する必要があります。* 請求データは、2,000 万件を超えるレコードを含む外部システムに保存されます。* 財務部門のみが請求システムに直接アクセスできます。コンサルタントはどのソリューションを推奨すべきでしょうか?",A. 請求システムからの検索ページを表示するカスタム タブを作成します。 | B. カスタム オブジェクトを使用して、請求システムから Salesforce に支払いデータを統合します。 | C. Salesforce Connect と外部オブジェクトを請求システムに設定します。,C,請求問題に関する通話時に顧客の支払い履歴を表示するには、Salesforce ConnectとExternal Object（外部オブジェクト）を使って外部請求システムとリアルタイム連携するのが最適です。データをSalesforceにコピーせず外部システムのデータをリアルタイムで参照できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=16
,77,Universal Containers は、顧客がカスタマー サービス センターに電話する代わりにサポート リクエストを送信できるように、Web-to-Case フォームを Web サイトに実装することを決定しました。製品所有者はコンサルタントに実装計画の作成とソリューションの調査を依頼しました。コンサルタントは実施計画を作成する前に何をすべきでしょうか?,A. Web-to-ケースのサービス設定アシスタントを確認します。 | B. Web-to-ケースのガイドラインと制限を確認します。 | C. Web-to-ケースの Einstein 会話マイニングを確認します。,B,顧客が電話せずに自己解決できるようにするには、ナレッジベースとExperience Cloud（セルフサービスポータル）を組み合わせてFAQ・トラブルシューティングガイドを公開します。顧客が自己解決することでコンタクトセンターへの問い合わせ量が削減されます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=16
,78,Universal Containers は最近、Experience Cloud サイトを実装し、顧客がオンラインでケースを作成および更新できるようにしました。顧客は、自分の代理で作成したケースを含め、連絡先としてリストされているケースにのみアクセスできるようにする必要があります。サポート チームは、要件を満たすためにコンサルタントは何を推奨する必要がありますか?,A. Experience Cloud サイトのユーザーに、連絡先レコードに関連付けられたレコードへのアクセスを許可する共有セット | B. Experience Cloud サイトのユーザーロール階層に基づいてレコードへのアクセスが確実に付与されるようにする共有ルール | C. Case オブジェクトに対する組織全体のデフォルトのパブリック読み取り/書き込み,A,Experience Cloudサイト実装後、顧客が自分のケースを管理できるよう、ケース作成・追跡・更新機能をコミュニティに設定します。ポータルユーザーが自分のケースのみを閲覧・管理できる権限設定も必要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=16
,79,ユニバーサルコンテナーズには、数百件の記事を収録した充実したナレッジベースがあります。経営陣は最近、機密性の高い製品情報を含む15件のナレッジ記事を特定し、社内サポート担当者のみが閲覧できるようにしました。これら 15 個の品目が適切に保護されていることを確認するために、コンサルタントはどのシステム構成を推奨する必要がありますか?,A. ナレッジの共有設定を「パブリック読み取り専用」から「プライベート」に変更します。 | B. 「標準 Salesforce 共有を使用する」ナレッジ設定属性を無効にします。 | C. これらの記事の表示設定を「内部アプリでのみ表示」に変更します。,C,大規模なナレッジベースの品質管理には、定期的な記事レビュープロセスを設定します。古い記事や不正確な記事を特定するための定期的な審査ワークフローを構築し、Knowledge記事の有効期限アラートも活用します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=16
,80,ユニバーサルコンテナーズは顧客に電話サポートを提供していますが、ここ数ヶ月、通話放棄率が高くなっています。この問題に対処するために、Service Cloud コンサルタントはどのソリューションを推奨すべきでしょうか?,A. サービス担当者のルーティング用のケース割り当てルールを作成します。 | B. Slack で Service Swarming を設定およびセットアップします。 | C. コンタクトリクエストとキューのコールバックを有効にします。,C,電話放棄率が高い問題に対処するには、コールバック機能（連絡先リクエスト）の導入またはセルフサービスチャネルの拡充が効果的です。顧客が保留せずにコールバックを予約できるようにするか、電話を使わずに解決できる手段を提供します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=16
